Index,Date,Instrument,Total Return
707,2021,CZNC.OQ,-25.77313429
708,2022,CZNC.OQ,38.05636539
709,2023,CZNC.OQ,-8.356034072
710,2024,CZNC.OQ,3.704681266
711,2013,DCOM.OQ,5.118938033
712,2014,DCOM.OQ,31.23927004
713,2015,DCOM.OQ,5.240860995
714,2016,DCOM.OQ,16.19075097
715,2017,DCOM.OQ,27.02577949
716,2018,DCOM.OQ,-6.154539031
717,2019,DCOM.OQ,-25.9314822
718,2020,DCOM.OQ,33.96959197
719,2021,DCOM.OQ,-25.11301767
720,2022,DCOM.OQ,49.90397136
721,2023,DCOM.OQ,-6.819596057
722,2024,DCOM.OQ,-11.51552138
723,2013,DFS.N^E25,62.56345232
724,2014,DFS.N^E25,46.90511961
725,2015,DFS.N^E25,18.92426671
726,2016,DFS.N^E25,-16.54914818
727,2017,DFS.N^E25,37.43006156
728,2018,DFS.N^E25,8.907986624
729,2019,DFS.N^E25,-21.78377397
730,2020,DFS.N^E25,46.94835411
731,2021,DFS.N^E25,10.07781315
732,2022,DFS.N^E25,29.79282293
733,2023,DFS.N^E25,-13.56745985
734,2024,DFS.N^E25,18.20994827
735,2013,EBC.OQ,NaN
736,2014,EBC.OQ,NaN
737,2015,EBC.OQ,NaN
